"filename", "language", "JSON", "Markdown", "CSS", "JavaScript JSX", "HTML", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\ModalCreteSupplierForm\modalCreateSupplierForm.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateAccountForm\modalCreateAccountForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateAccountTypeForm\modalCreateAccountTypeForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateBrandForm\modalCreateBrandForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateCategoryForm\modalCreateCategoryForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateClientForm\modaleCreateClientForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateDepositForm\modalCreateDepositForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateDispatcherForm\modalCreateDispatcherForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateMesureForm\ModalCreateMesureForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateOfferForm\modalCreateOfferForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreatePersonForm\modalCreatePersonForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateProductForm\modalCreateProductForm.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 5, 22
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateUbicationForm\modalCreateUbicationForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateUserForm\modalCreateUserForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\Gonzalo\Desktop\Aguas Claras\frontend\src\views\modals\createModals\modalCreateUserRolForm\modalCreateUserRolForm.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
